learning_rate,weight_decay,lstm_hidden_size,dropout,num_layers,trial,best_val_loss,best_epoch
0.0003,0.0,512,0.4,1,6,0.48077506173336715,9
0.0001,0.0001,512,0.2,2,5,0.49598192763433124,12
0.0003,1e-05,128,0.2,1,2,0.5114232458566365,12
0.0003,0.0001,256,0.4,2,4,0.5480929418352612,12
0.001,0.0001,256,0.2,1,3,0.5503809030510878,11
0.0001,0.0,128,0.0,1,1,0.5638459788864119,11
