learning_rate,weight_decay,lstm_hidden_size,dropout,num_layers,trial,best_val_loss,best_epoch
0.0001,0.0001,512,0.2,2,5,0.39066640052356216,12
0.0003,0.0,512,0.4,1,6,0.4096149015975626,12
0.001,0.0001,256,0.2,1,3,0.4162574585592538,12
0.0003,1e-05,128,0.2,1,2,0.4174822588500224,12
0.0003,0.0001,256,0.4,2,4,0.41949693028602686,9
0.0001,0.0,128,0.0,1,1,0.4232674597909576,12
