learning_rate,weight_decay,lstm_hidden_size,dropout,num_layers,trial,best_val_loss,best_epoch
0.0003,0.0,512,0.4,1,6,0.32993345685077435,11
0.0003,0.0001,256,0.4,2,4,0.33263629844242876,12
0.0003,1e-05,128,0.2,1,2,0.3344856204860138,9
0.001,0.0001,256,0.2,1,3,0.3354089896787297,11
0.0001,0.0001,512,0.2,2,5,0.34725368869575585,11
0.0001,0.0,128,0.0,1,1,0.35738750197219127,10
