,spring,summer,autumn,winter
spring,0.28757658739895614,0.4121682645957276,0.3831021118805253,0.3860355811590931
summer,0.4785197848089187,0.28452276709018287,0.46608334254057976,0.48869137793659473
autumn,0.345692325900591,0.395470114101684,0.2068246823926033,0.31082063897364687
winter,0.2552115121409183,0.32464854950968186,0.23288471779048397,0.1334021825824696
