,spring,summer,autumn,winter
spring,0.2520807086450273,0.3450061591021165,0.354257943905112,0.36592681577406866
summer,0.43571462123574617,0.2909577173282132,0.43431030643070784,0.4729380838002753
autumn,0.3191945880931929,0.33576927976629867,0.16802085041708778,0.3093425677824681
winter,0.23351355618904046,0.25965459057092893,0.2461824093194855,0.12017433259866503
