Train Loss,Validate Loss,Test Loss
0.1648876965045929,0.23803203730308947,0.2917713786418917
0.14463715255260468,0.2394586732967737,0.2955297928077705
0.13992559909820557,0.2229629489494131,0.29502800232378035
0.13061343133449554,0.21990489028394222,0.2904407972476981
0.1235903799533844,0.22171428279475647,0.29511198079580386
0.11644027382135391,0.21618356258469693,0.2965014619477601
0.12082900106906891,0.22070083940560195,0.3057995920887951
0.10979942232370377,0.21570009335954773,0.2986589259538574
0.11124896258115768,0.21017686925590673,0.2941550682341172
0.1210923120379448,0.21928507033141054,0.29915328124241736
0.11049072444438934,0.21838061008206072,0.3044800535479391
0.11205978691577911,0.22122367284201244,0.3092360507732144
0.11468781530857086,0.21857313765212893,0.3011025340536214
0.10864048451185226,0.2188956325952994,0.30446825107369063
0.10609874874353409,0.21773879345446984,0.30455115986070735
0.10242342203855515,0.21606133610723502,0.30338215992793044
0.10181760042905807,0.2160726661021088,0.3044176375698016
0.10014128684997559,0.21633943395708946,0.3054556230989736
0.09833657741546631,0.21647885849976795,0.3061373325846172
0.09738093614578247,0.2165084996562887,0.30683789884770346
0.09630265831947327,0.21652839919106362,0.30765688413486
0.09331152588129044,0.2142609419026214,0.306509059097505
0.09273790568113327,0.21411383596367817,0.3067356940630513
0.09205416589975357,0.21416258981991362,0.30709413044881356
0.09089551866054535,0.21385614237465717,0.30699324539904904
0.09039708226919174,0.2138916004803329,0.3072334926914085
0.08999045938253403,0.21400256316608532,0.30755613783416763
0.0894719734787941,0.21438413949935956,0.30741719922939825
0.08910451829433441,0.2144148791347571,0.3075338484906366
0.0888625904917717,0.21446593903981032,0.3077463755542836
0.08854540437459946,0.21479883759054652,0.30768186492443256
0.08834704011678696,0.2148432855449736,0.3077646238221364
0.08814218640327454,0.21487031050739772,0.3078577914666808
0.08794748038053513,0.21499509895913937,0.3078552338763874
0.08785784989595413,0.21504988330366842,0.3079131879099419
0.08774985373020172,0.21506261316554107,0.3079515037617195
0.08765333890914917,0.21509718751049342,0.30798105876504756
0.08758892118930817,0.21511995653681298,0.30800590727047883
0.08754660934209824,0.21513898787336386,0.3080314389412348
0.08750169724225998,0.21515118370347835,0.308050521150951
0.08747183531522751,0.21515982540601747,0.3080632514507284
0.08744432777166367,0.21516724312777055,0.3080768613726832
0.08742465823888779,0.21517363423976968,0.30808605175239573
0.08741024136543274,0.215178655519923,0.30809444568127
0.08739601075649261,0.2151827720474412,0.30810169680432103
0.08738689869642258,0.21518551426483912,0.3081059232668133
0.08738020062446594,0.21518806529112477,0.3081098478146349
0.0873728096485138,0.21519053146302541,0.30811372841531975
0.08736816048622131,0.21519173213845474,0.3081157203968332
0.08736472576856613,0.21519300265069258,0.30811757138104773
0.08736135810613632,0.2151940954537032,0.3081194920144326
0.08735915273427963,0.21519474222255436,0.30812047811288557
0.08735708892345428,0.2151952339683045,0.3081213503081182
0.0873551219701767,0.21519569901036137,0.30812226762875183
0.08735407143831253,0.21519604086271546,0.3081227263269918
0.08735300600528717,0.21519631406222967,0.308123091293259
0.0873522236943245,0.21519662095035644,0.30812356836677557
0.08735168725252151,0.21519666695174702,0.30812366299867405
0.08735112845897675,0.2151967712177677,0.30812373087303996
0.0873507708311081,0.21519680771520955,0.3081238083072204
0.08735018968582153,0.21519696050660408,0.30812388863837853
0.08734975010156631,0.21519698227379233,0.3081239810989549
0.08734943717718124,0.2151970810460006,0.3081240933183863
0.08734889328479767,0.21519719200961768,0.308124178518527
0.08734849840402603,0.21519723869216173,0.3081242963622296
0.08734811097383499,0.21519730435288015,0.3081243909602618
0.08734771609306335,0.21519731001760017,0.30812450012749515
0.08734731376171112,0.21519742513996887,0.3081246037307816
0.0873468890786171,0.21519744339735902,0.3081247242407478
0.08734632283449173,0.21519752539337633,0.30812481304658856
0.08734596520662308,0.21519758307097597,0.3081248825172555
0.08734559267759323,0.2151976953374539,0.3081250119277022
0.08734504133462906,0.21519778909884948,0.3081251306639222
0.0873447060585022,0.21519779832042912,0.30812522123821756
0.08734436333179474,0.21519790299761882,0.3081252992385998
0.08734387159347534,0.21519793088775763,0.30812538456926686
0.08734344691038132,0.21519799756401398,0.30812549412490403
0.08734307438135147,0.2151980936908698,0.3081255832404801
0.08734264969825745,0.2151981120770599,0.3081256791924578
0.08734215050935745,0.21519823673310035,0.30812578609629504
0.08734174817800522,0.2151982462642952,0.30812584437944956
0.08734115213155746,0.21519831923688662,0.3081259289590614
0.08734091371297836,0.2151983767807325,0.308126057887972
0.08734045177698135,0.21519846909312887,0.30812613047574733
0.08734017610549927,0.215198474438326,0.308126276112726
0.08733963221311569,0.21519859882190506,0.3081263619676148
0.0873393788933754,0.2151986915751935,0.3081264611210138
0.08733886480331421,0.21519870946104538,0.3081265823943823
0.08733832091093063,0.21519880336857936,0.3081267034574976
0.08733802288770676,0.21519885248346057,0.3081268221863094
0.08733757585287094,0.2151989552534205,0.3081269281207245
0.08733710646629333,0.2151990144146963,0.308127039864617
0.08733674138784409,0.21519910638775439,0.3081271697537776
0.08733641356229782,0.21519915459608224,0.30812727185460087
0.08733613044023514,0.21519919659229034,0.30812736180131184
0.08733556419610977,0.21519928385424328,0.3081274516979289
0.08733514696359634,0.2151993364913072,0.30812756046546963
0.08733475208282471,0.2151994408142971,0.3081276803206878
0.08733448386192322,0.21519955300646734,0.3081277922914138
0.08733396977186203,0.21519961074846697,0.3081279320148469
