Train Loss,Validate Loss,Test Loss
0.044551461935043335,0.4702814259427659,0.45383369160013015
0.041417766362428665,0.4500773748818864,0.45265764919176565
0.0404227040708065,0.44127614415706473,0.4476778350929412
0.04207661747932434,0.4378410041966337,0.4456005295003837
0.04548801854252815,0.4606075039569368,0.4749778930033685
0.04332489147782326,0.46294792186706624,0.4705857655338798
0.04125127196311951,0.45959209000810664,0.4635126267777321
0.03849419951438904,0.4494035602249998,0.4541646017327704
0.03672828897833824,0.45538242129569356,0.46013623113955876
0.037045709788799286,0.46532424047906346,0.4701148950282908
0.034691452980041504,0.45164693194500943,0.46196325414836364
0.034501515328884125,0.4521227910163555,0.4629555840197181
0.035026662051677704,0.4548892914614779,0.4677960222676218
0.034984614700078964,0.444460724896573,0.4589668435865768
0.03493393212556839,0.4450737266464436,0.4607757161603892
0.035169050097465515,0.44635574202588263,0.46216045049316123
0.035391904413700104,0.44303525825764273,0.4584787607694555
0.035461701452732086,0.4433620587942448,0.45917385937058725
0.03558250516653061,0.4437670793305052,0.46002308725610147
0.03558417782187462,0.44298361622272653,0.4584368963370868
0.03565782308578491,0.4430345036882035,0.4588322015807714
0.035730764269828796,0.443295696631391,0.4593091925801667
0.03556833788752556,0.4434400016957141,0.4593341764738654
0.03559424355626106,0.44346960840073035,0.4595194993122212
0.03559652343392372,0.4435255524325878,0.45968988440656533
0.03544881194829941,0.44415014728586727,0.4605901638151517
0.03547390550374985,0.4441934992024239,0.46070613609834277
0.03548390045762062,0.44422498060033677,0.4608043667774586
0.03544725105166435,0.4446458784823722,0.46139363224794505
0.03544878587126732,0.44475844692676625,0.4615772324115802
0.03544824197888374,0.4447927135736384,0.46165988993704454
0.03544719144701958,0.4449457500843292,0.4618900487214936
0.035447947680950165,0.44503261719612364,0.46202634959361405
0.0354481004178524,0.4450742034836018,0.46210097594686483
0.0354493074119091,0.44513185385693893,0.4621920870700858
0.03545123711228371,0.4451738583280685,0.46226073087009734
0.03545147925615311,0.44520305889718076,0.46231377450731853
0.03545118123292923,0.44522857285560447,0.46235354827299735
0.03545188903808594,0.4452501503711051,0.4623883606038721
0.03545277938246727,0.44526874480095313,0.4624190822680771
0.03545248508453369,0.44528040733743224,0.46243725108518824
0.03545291721820831,0.4452902595413492,0.46245378601447745
0.035453248769044876,0.4452997030729943,0.4624696784695641
0.03545298054814339,0.4453052780095567,0.46247833667003724
0.03545331582427025,0.445310429689732,0.4624866943871414
0.03545348718762398,0.4453149913473332,0.4624944710474033
0.03545333072543144,0.4453179864807332,0.46249897682984936
0.035453442484140396,0.4453208240422797,0.46250331612697015
0.035453543066978455,0.4453233109509691,0.462507394438454
0.03545346111059189,0.44532472117150085,0.4625098172960033
0.03545347601175308,0.44532627406272485,0.46251218315457204
0.035453539341688156,0.44532773818107363,0.46251450794589327
0.035453490912914276,0.44532863034846937,0.46251575283923685
0.03545348346233368,0.4453292961450333,0.46251696938858644
0.03545345366001129,0.4453301724601299,0.4625181973521273
0.03545344993472099,0.4453309371750406,0.46251940299564426
0.03545340895652771,0.4453317253513539,0.4625205917249561
0.03545336797833443,0.4453324342661716,0.4625218115891797
0.03545336797833443,0.4453333644790852,0.4625229625949604
0.035453323274850845,0.4453341215848923,0.46252413454669816
0.03545331954956055,0.445334921491907,0.46252538639385304
0.035453278571367264,0.4453356389669662,0.4625265581178141
0.03545325994491577,0.4453364350694291,0.46252770952442607
0.035453226417303085,0.44533721563663886,0.4625288832955018
0.03545316308736801,0.44533796988903207,0.4625300098036125
0.03545320779085159,0.4453387571142075,0.46253120864145136
0.035453155636787415,0.44533950502568104,0.4625323234654198
0.03545309975743294,0.44534023074393575,0.4625335104675848
0.03545309603214264,0.4453410458691577,0.462534660705948
0.03545311093330383,0.4453417766601481,0.4625357645772039
0.035453058779239655,0.4453424928670234,0.4625369595032789
0.03545306250452995,0.44534332511272834,0.46253801097134534
0.03545299544930458,0.44534406636623625,0.4625391741728509
0.03545297309756279,0.44534474294236365,0.4625402495488427
0.035452987998723984,0.44534546770948047,0.46254138717357096
0.035452961921691895,0.44534625715397774,0.46254248422067573
0.03545296564698219,0.4453469435585306,0.4625436036992528
0.03545290231704712,0.4453475747970825,0.46254465468945877
0.03545285761356354,0.44534827800507243,0.4625458113541046
0.03545285016298294,0.44534908488709873,0.4625468970270141
0.035452816635370255,0.4453497395870533,0.4625479451574637
0.03545280173420906,0.4453504783041934,0.46254904466976754
0.03545280173420906,0.44535104074376697,0.46255012744867585
0.03545273840427399,0.4453518615758165,0.4625512296319096
0.03545273467898369,0.4453525641497145,0.46255225738026706
0.035452742129564285,0.4453532616508768,0.4625533139087402
0.035452697426080704,0.44535395629862523,0.4625544029518559
0.03545268997550011,0.44535461575426954,0.4625554720017729
0.03545267879962921,0.4453552397007638,0.4625564299526096
0.03545262664556503,0.4453559619315127,0.4625574580997941
0.03545258939266205,0.44535648632556835,0.46255842979312844
0.035452552139759064,0.44535727450188173,0.4625594848469785
0.03545255586504936,0.44535791873931885,0.4625604722596054
0.035452552139759064,0.445358600705228,0.46256147463404096
0.03545248880982399,0.44535932959394253,0.46256249311866665
0.035452522337436676,0.4453598996426197,0.46256345864320886
0.03545248135924339,0.4453605524402984,0.462564466415795
0.03545244783163071,0.44536117733793057,0.462565458942418
0.03545244410634041,0.4453617473866077,0.462566430553582
0.035452403128147125,0.4453623960626886,0.4625674339911788
