Train Loss,Validate Loss,Test Loss
0.23530854284763336,0.7868096698075533,0.8035809742851239
0.3862239718437195,0.3821825914617096,0.3972544939073762
0.3892297148704529,0.38491156504356433,0.390015015581792
0.2757532000541687,0.3414963808442865,0.3590277244506234
0.4617624878883362,0.34605502609961797,0.36337527927632135
0.14775218069553375,0.3613392988086811,0.3779654861032737
0.372016042470932,0.3435547133641584,0.35982680085228025
0.21861211955547333,0.3331900292874447,0.3420699644974913
0.6222946643829346,0.3850581488305969,0.4131099359471012
0.8135327696800232,0.328185855277947,0.3346498221875112
0.1916685551404953,0.32384123506822754,0.3306410489928429
0.3524206280708313,0.33631822200758116,0.3451495935953448
0.3446594774723053,0.3418902388241674,0.3512334892286383
0.1655624806880951,0.33477340206237777,0.3314854525633784
0.34321653842926025,0.32991609423022183,0.32508734475960605
1.823935866355896,0.32503405047048417,0.3232083657927543
0.20605286955833435,0.33087157970294356,0.3245086189518175
